Unique_Sample_ID,Time_place_of_CBC_analysis,Genotype,Princeton/NIH_Tag,CageID,Parents,Age,Location,Notes,Infection_Status,Block,WBC_count,Neu_count,Lym_count,Mon_count,Eos_count,Bas_count,Neu_percent,Lym_percent,Mon_percent,Eos_percent,Bas_percent,RBC_count,HGB (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW-CV (%),MPV (fL)
280_2 weeks_SF_N,2 weeks,C57,280,23,G569,10,SF,,N,2,4.44,2.66,1.66,0.05,0.04,0.03,59.9,37.3,1.2,1,0.6,10.51,16.2,45,42.9,15.4,35.9,14.7,5.6
280_5 weeks_SF_N,5 weeks,C57,280,23,G569,13,SF,,N,2,5.33,2.02,3.24,0.02,0.02,0.03,37.8,60.7,0.4,0.5,0.6,10.2,16.4,46.3,45.4,16.1,35.4,14.8,5.8
278_NIH_Lab_Tm,NIH,C57,278,23,G569,6,SF,,Tm,2,10.49,0.64,9.34,0.12,0.35,0.04,6.1,89.1,1.1,3.3,0.4,8.34,14.8,40.6,48.8,17.8,36.5,20.4,6.2
278_2 weeks_SF_Tm,2 weeks,C57,278,23,G569,10,SF,,Tm,2,1.2,0.13,1.01,0.02,0.04,0,10.7,83.6,2.1,3.4,0.2,8.63,13.6,38.1,44.1,15.7,35.6,14.5,5.7
285_NIH_Lab_Tm,NIH,C57,285,24,G565,7,Lab,,Tm,2,12.14,1.59,9.09,0.33,1.08,0.05,13.2,74.8,2.7,8.9,0.4,8.26,14.7,40.7,49.3,17.8,36.2,18,4.5
285_2 weeks_Lab_Tm,2 weeks,C57,285,24,G565,11,Lab,,Tm,2,11.96,1.01,10.29,0.27,0.3,0.09,8.5,86,2.3,2.5,0.7,10.33,16.3,44.4,43,15.8,36.8,12.4,5.3
285_5 weeks_Lab_Tm,5 weeks,C57,285,24,G565,14,Lab,,Tm,2,2.84,0.8,1.7,0.03,0.28,0.03,27.8,59.8,1.2,9.9,1.3,9.77,15.2,40.9,41.9,15.5,37,13.3,5.6
281_NIH_Lab_N,NIH,C57,281,24,G565,7,Lab,,N,2,7.9,0.69,6.38,0.16,0.61,0.06,8.7,80.7,2,7.8,0.8,8.7,15.1,43.7,50.2,17.4,34.6,15.2,4.6
281/P286_2 weeks_Lab_N,2 weeks,C57,281/P286,24,G565,11,Lab,,N,2,7.5,0.77,6.26,0.23,0.21,0.03,10.2,83.5,3.1,2.8,0.4,8.72,13.9,37.4,42.8,15.9,37.1,12,5.1
281/P286_5 weeks_Lab_N,5 weeks,C57,281/P286,24,G565,14,Lab,,N,2,3.68,1.77,1.82,0.01,0.07,0.01,47.9,49.4,0.4,1.8,0.5,9.57,14.4,39.9,41.7,15,36,12.5,5.1
283_NIH_Lab_N,NIH,C57,283,24,G551,6,SF,,N,2,10.07,1.11,7.88,0.31,0.74,0.03,11,78.3,3.1,7.3,0.3,8.42,14.7,41.5,49.3,17.5,35.4,17.5,4.6
283_2 weeks_SF_N,2 weeks,C57,283,24,G551,10,SF,,N,2,2.41,0.97,1.2,0.09,0.14,0.01,40,49.7,4,5.8,0.5,10.4,16.4,44.4,42.7,15.8,37,13.3,5.7
283_5 weeks_SF_N,5 weeks,C57,283,24,G551,14,SF,,N,2,5.53,1.74,3.46,0.05,0.25,0.03,31.5,62.5,0.9,4.5,0.6,10.77,17.1,48.6,45.1,15.9,35.2,14.8,5.3
284_NIH_Lab_Tm,NIH,C57,284,24,G551,6,SF,,Tm,2,6.2,0.66,5.02,0.18,0.32,0.02,10.6,80.9,2.9,5.2,0.4,6.12,11,30.7,50.1,18,35.9,14.3,4.8
284_2 weeks_SF_Tm,2 weeks,C57,284,24,G551,10,SF,,Tm,2,3.28,1.73,1.36,0.05,0.13,0.01,52.5,41.3,1.6,4.1,0.5,10.33,16.4,44.1,42.7,15.9,37.2,13.8,5.4
284_5 weeks_SF_Tm,5 weeks,C57,284,24,G551,14,SF,,Tm,2,4.5,2.33,1.98,0.05,0.1,0.04,51.7,43.9,1.2,2.3,0.9,10.82,17.2,48.6,44.9,15.9,35.5,14.4,5.5
282_NIH_Lab_Tm,NIH,C57,282,24,G551,6,SF,,Tm,2,10.39,1.39,7.74,0.3,0.9,0.06,13.4,74.5,2.8,8.7,0.6,9.19,16.7,46.2,50.2,18.1,36.1,13.6,4.8
282_2 weeks_SF_Tm,2 weeks,C57,282,24,G551,10,SF,,Tm,2,2.44,1.26,0.91,0.2,0.06,0.01,51.4,37.3,8,2.7,0.6,10.9,16.9,46.4,42.6,15.5,36.3,13.8,5.9
282_5 weeks_SF_Tm,5 weeks,C57,282,24,G551,14,SF,,Tm,2,3.72,1.38,1.97,0.06,0.16,0.15,37.1,53,1.6,4.2,4.1,10.6,17.2,48.5,45.7,16.2,35.5,15.7,5.4
291_NIH_Lab_N,NIH,C57,291,26,G567,6,SF,Mites,N,2,8.61,0.86,7.17,0.16,0.38,0.04,10,83.3,1.8,4.4,0.5,8.52,15.5,42.7,50.1,18.2,36.3,13.4,4.6
291_2 weeks_SF_N,2 weeks,C57,291,26,G567,10,SF,Mites,N,2,2.53,1.28,1.1,0.07,0.07,0.01,50.6,43.1,3,2.8,0.5,10.2,16.3,43.6,42.8,16,37.4,14.8,5.7
291_5 weeks_SF_N,5 weeks,C57,291,26,G567,14,SF,Mites,N,2,3.79,1.2,2.53,0.02,0.01,0.03,31.7,66.7,0.5,0.5,0.6,10.48,16.8,47.5,45.3,16,35.4,15,5.7
295_NIH_Lab_Tm,NIH,C57,295,26,G567,6,Lab,Mites,Tm,2,9.69,1.05,7.93,0.21,0.44,0.06,10.8,81.8,2.2,4.5,0.7,9.48,16.4,46.9,49.4,17.3,35,13.8,4.5
295_2 weeks_Lab_Tm,2 weeks,C57,295,26,G567,11,Lab,Mites,Tm,2,14.93,3.76,10.39,0.38,0.25,0.15,25.2,69.6,2.5,1.7,1,9.76,15.5,41.4,42.5,15.9,37.4,12.8,5.6
295_5 weeks_Lab_Tm,5 weeks,C57,295,26,G567,13,Lab,Mites,Tm,2,2.37,0.35,1.77,0.11,0.1,0.04,14.5,74.5,4.9,4.3,1.8,9.6,15,41.3,43,15.7,36.4,13.1,5.6
293_NIH_Lab_N,NIH,C57,293,26,G565,7,Lab,Mites,N,2,8.5,1.44,6.13,0.22,0.68,0.03,17,72.2,2.6,7.9,0.3,8.75,15.7,43.3,49.5,18,36.3,13.5,4.7
293_2 weeks_Lab_N,2 weeks,C57,293,26,G565,11,Lab,Mites,N,2,8.62,1.2,7.08,0.11,0.17,0.06,13.9,82.1,1.3,2,0.7,10.44,16.3,44.1,42.2,15.6,36.9,12.7,11.4
293_5 weeks_Lab_N,5 weeks,C57,293,26,G565,14,Lab,Mites,N,2,2.23,0.29,1.77,0.04,0.13,0,12.8,79.2,2,5.7,0.3,9.6,15,40.9,42.5,15.6,36.8,12.7,5.1
292_NIH_SF_Tm,NIH,C57,292,26,G571,7,SF,Mites,Tm,2,11.01,0.89,9.22,0.14,0.71,0.05,8.1,83.7,1.3,6.5,0.4,8.55,14.6,42,49.1,17.1,34.9,18.7,5
292_2 weeks_Lab_Tm,2 weeks,C57,292,26,G571,11,SF,Mites,Tm,2,2.55,0.69,1.79,0.05,0.01,0.01,27,70,2,0.4,0.6,10.15,16,43.7,43,15.7,36.5,12.9,5.5
292_5 weeks_SF_Tm,5 weeks,C57,292,26,G571,14,SF,Mites,Tm,2,4.17,0.99,3.03,0.04,0.08,0.03,23.7,72.5,1,2.1,0.7,10.38,16.6,47.5,45.8,16,35,15.1,5.6
294_NIH_Lab_N,NIH,C57,294,26,G565,7,SF,Mites,N,2,10.11,1.22,7.92,0.34,0.57,0.06,12.1,78.3,3.4,5.6,0.6,8.07,13.9,40.5,50.1,17.2,34.3,17.3,4.9
294_5 weeks_SF_N,5 weeks,C57,294,26,G565,14,SF,Mites,N,2,4.36,2.22,2.04,0.02,0.03,0.05,50.8,46.8,0.5,0.8,1.1,10.75,17.6,49.2,45.8,16.4,35.7,14.9,5.6
296_NIH_Lab_N,NIH,C57,296,27,G562,7,Lab,,N,2,9.73,1.53,7.6,0.19,0.37,0.04,15.7,78.1,2,3.8,0.4,9.53,16.1,46.9,49.2,16.8,34.3,14.7,5.2
296_2 weeks_Lab_N,2 weeks,C57,296,27,G562,12,Lab,,N,2,13.48,4.68,8.42,0.1,0.14,0.14,34.7,62.4,0.7,1.1,1.1,10.49,16.2,44,42,15.5,36.8,13.1,5.8
296_5 weeks_Lab_N,5 weeks,C57,296,27,G562,15,Lab,,N,2,2.84,1.15,1.63,0.01,0.03,0.02,40.2,57.2,0.5,1.3,0.8,9.65,14.7,40.9,42.4,15.2,35.9,13,5.2
300_NIH_Lab_Tm,NIH,C57,300,27,G562,7,SF,,Tm,2,8.4,0.94,7.18,0.09,0.15,0.04,11.1,85.5,1.1,1.8,0.5,9.94,16.9,48.3,48.6,17,34.9,13.1,5.2
300_2 weeks_SF_Tm,2 weeks,C57,300,27,G562,12,SF,,Tm,2,2.88,0.91,1.32,0.24,0.41,0,31.5,45.8,8.4,14,0.3,10.1,16,43.7,43.2,15.8,36.6,15.3,5.6
300_5 weeks_SF_Tm,5 weeks,C57,300,27,G562,15,SF,,Tm,2,2.72,0.96,1.44,0.17,0.07,0.08,35.1,52.9,6.1,2.8,3.1,10.45,16.6,47.6,45.6,15.9,34.9,15.5,5.8
299_NIH_Lab_Tm,NIH,C57,299,27,G562,7,Lab,,Tm,2,9.14,2.34,6.33,0.16,0.27,0.04,25.6,69.2,1.8,2.9,0.5,9.85,16.8,47.8,48.5,17,35.1,14.2,4.6
299_2 weeks_Lab_Tm,2 weeks,C57,299,27,G562,12,Lab,,Tm,2,9.76,1.79,7.67,0.1,0.11,0.09,18.3,78.6,1,1.2,0.9,10.22,15.7,43,42.1,15.4,36.6,13.2,5.6
299_5 weeks_Lab_Tm,5 weeks,C57,299,27,G562,15,Lab,,Tm,2,2.68,0.64,1.65,0.09,0.25,0.05,23.8,61.3,3.5,9.5,1.9,10.33,15.9,43.7,42.3,15.4,36.4,14,5.2
298_NIH_Lab_N,NIH,C57,298,27,G562,7,SF,,N,2,8.44,1.69,6.34,0.17,0.2,0.04,20,75.1,2.1,2.3,0.5,10.28,17.1,49.7,48.3,16.7,34.5,13.8,5.1
298_2 weeks_SF_N,2 weeks,C57,298,27,G562,12,SF,,N,2,3.53,1.35,1.97,0.07,0.11,0.03,38.1,55.8,2.2,3,0.9,10.32,16.5,43.9,42.5,16,37.6,16.3,5.4
298_5 weeks_SF_N,5 weeks,C57,298,27,G562,15,SF,,N,2,4.31,2.47,1.71,0.02,0.03,0.08,57.3,39.6,0.6,0.8,1.7,10.83,17.4,48.7,45,16.1,35.8,14.3,5.5
297_NIH_Lab_Tm,NIH,C57,297,27,G562,7,SF,,Tm,2,9.62,2.65,6.61,0.14,0.18,0.04,27.5,68.7,1.5,1.9,0.4,9.51,15.7,46.1,48.5,16.6,34.1,16.6,5.1
297_2 weeks_SF_Tm,2 weeks,C57,297,27,G562,12,SF,,Tm,2,3.58,1.15,2.2,0.15,0.05,0.03,32.1,61.4,4.2,1.3,1,9.93,15.6,42.5,42.8,15.8,36.8,14.3,5.5
297_5 weeks_SF_Tm,5 weeks,C57,297,27,G562,15,SF,,Tm,2,4.26,2.23,1.92,0.02,0.06,0.03,52.3,45.1,0.5,1.4,0.7,10.6,16.8,47.3,44.6,15.9,35.5,14.4,5.9
108_NIH_Lab_N,NIH,129,108,19,G455,7,Lab,,N,2,10.79,2,8.32,0.31,0.14,0.02,18.5,77.1,2.9,1.3,0.2,10.12,17.7,49.7,49.1,17.5,35.7,14.7,4.9
105_NIH_Lab_N,NIH,129,105,19,G455,7,Lab,,N,2,5.53,0.89,4.28,0.16,0.17,0.03,16,77.3,3,3.1,0.6,10.29,18.1,49.9,48.5,17.6,36.4,14.3,5.1
105_2 weeks_Lab_N,2 weeks,129,105,19,G455,11,Lab,,N,2,5.1,0.61,4.28,0.05,0.14,0.02,12,83.9,1,2.6,0.5,10.11,16.6,46,45.5,16.5,36.1,15.1,5.4
105_5 weeks_Lab_N,5 weeks,129,105,19,G455,14,Lab,,N,2,1.96,0.73,1.12,0.01,0.1,0,37.1,57.1,0.7,4.7,0.4,10.63,16.8,48.8,45.9,15.8,34.4,14.8,4.4
106_NIH_Lab_Tm,NIH,129,106,19,G455,7,SF,,Tm,2,9.46,2.88,6.09,0.3,0.18,0.01,30.4,64.4,3.2,1.9,0.1,10.28,18.4,50.2,48.8,17.9,36.6,14.5,4.4
106_2 weeks_SF_Tm,2 weeks,129,106,19,G455,11,SF,,Tm,2,2.5,0.88,1.02,0.13,0.46,0.01,35.3,40.5,5.2,18.6,0.4,7.75,12.4,35.7,46,16,34.7,14.3,5.3
106_5 weeks_SF_Tm,5 weeks,129,106,19,G455,14,SF,,Tm,2,3.82,2.25,1.47,0.03,0.06,0.01,58.9,38.5,0.8,1.4,0.4,11.07,17.9,52.2,47.1,16.2,34.3,16,5.2
107_NIH_Lab_Tm,NIH,129,107,19,G459,7,Lab,,Tm,2,8.05,1.29,6.23,0.2,0.3,0.03,16,77.4,2.4,3.8,0.4,10.08,18.3,49.8,49.4,18.2,36.7,15,5.3
107_2 weeks_Lab_Tm,2 weeks,129,107,19,G459,11,Lab,,Tm,2,13.93,1.9,11.32,0.22,0.43,0.06,13.7,81.3,1.5,3.1,0.4,10.35,16.8,46.5,44.9,16.2,36.2,14.3,4.7
107_5 weeks_Lab_Tm,5 weeks,129,107,19,G459,14,Lab,,Tm,2,2.54,0.65,1.52,0.04,0.32,0.01,25.7,59.6,1.6,12.7,0.4,10.38,16.7,47.8,46,16.1,35,14.9,5.2
104/170_NIH_Lab_N,NIH,129,104,19,G459,7,SF,,N,2,7.54,2.24,4.95,0.13,0.2,0.02,29.7,65.6,1.7,2.8,0.2,10.19,17.9,49.7,48.8,17.6,36,14.4,4.6
104/170_2 weeks_SF_N,2 weeks,129,104,19,G459,11,SF,,N,2,1.51,0.34,1.06,0.03,0.07,0.01,22,69.6,2.3,4.9,1.2,8.8,14.4,40.3,45.8,16.3,35.7,15.8,5.3
104/170_5 weeks_SF_N,5 weeks,129,104,19,G459,14,SF,,N,2,1.51,0.7,0.7,0.01,0.08,0.02,45.9,46.3,1.1,5.4,1.3,10.67,17.8,50.1,47,16.7,35.5,16.8,5.5
112/125/117_NIH_Lab_Tm,NIH,129,117,21,G455,7,SF,,Tm,2,11.15,2.87,7.48,0.34,0.43,0.03,25.7,67.1,3.1,3.8,0.3,10.13,17.7,48.9,48.3,17.5,36.2,14.9,4.9
112/125/117_2 weeks_SF_Tm,2 weeks,129,117,21,G455,11,SF,,Tm,2,3.25,1.08,1.65,0.2,0.29,0.03,33.2,50.7,6.2,8.9,1,9.89,16.2,45.1,45.6,16.4,35.8,15.6,5.1
112/125/117_5 weeks_SF_Tm,5 weeks,129,117,21,G455,14,SF,,Tm,2,2.89,1.25,1.48,0.05,0.07,0.04,43.3,51,1.7,2.6,1.4,11.35,19.1,53.9,47.5,16.8,35.5,15,4.6
116_NIH_Lab_N,NIH,129,116,21,G455,7,Lab,,N,2,7.64,1.29,5.54,0.21,0.58,0.02,16.9,72.6,2.7,7.6,0.2,9.62,17.7,47,48.9,18.4,37.7,14.7,5
116_2 weeks_Lab_N,2 weeks,129,116,21,G455,11,Lab,,N,2,6.21,0.54,5.51,0.03,0.09,0.04,8.6,88.6,0.6,1.6,0.6,9.64,16.1,44.6,46.2,16.7,36.2,14.4,5.2
116_5 weeks_Lab_N,5 weeks,129,116,21,G455,14,Lab,,N,2,1.9,0.69,1.17,0.01,0.03,0,36,61.5,0.6,1.7,0.2,9.98,16.1,46.5,46.6,16.2,34.6,14.4,5.3
118_NIH_Lab_Tm,NIH,129,118,21,G455,7,SF,,Tm,2,11.77,1.76,9.01,0.41,0.56,0.03,14.9,76.5,3.5,4.8,0.3,9.62,17.7,46.5,48.3,18.3,38,14.3,4.4
118_2 weeks_SF_Tm,2 weeks,129,118,21,G455,11,SF,,Tm,2,1.96,0.72,0.94,0.09,0.19,0.02,36.6,47.7,5,9.7,1,9.89,16.1,45,45.5,16.3,35.8,15.4,5.3
118_5 weeks_SF_Tm,5 weeks,129,118,21,G455,14,SF,,Tm,2,3.96,2.14,1.66,0.05,0.08,0.03,53.9,41.8,1.3,2.1,0.9,11,17.9,51.1,46.5,16.3,35,15.6,4.8
115_NIH_Lab_Tm,NIH,129,115,21,G458,5,Lab,,Tm,2,8.81,1.18,6.8,0.32,0.46,0.05,13.4,77.2,3.6,5.3,0.5,9.44,17.3,47,49.8,18.3,36.8,15.8,4.7
115_2 weeks_Lab_Tm,2 weeks,129,115,21,G458,10,Lab,,Tm,2,5.41,0.58,4.56,0.06,0.17,0.04,10.6,84.3,1.2,3.2,0.7,9.87,16.3,45,45.6,16.5,36.2,14.5,6.4
115_5 weeks_Lab_Tm,5 weeks,129,115,21,G458,12,Lab,,Tm,2,1.65,0.37,0.86,0.01,0.41,0,22.2,51.9,0.8,24.8,0.3,9.86,15.8,45.8,46.5,16,34.5,14.8,4.2
114_NIH_Lab_N,NIH,129,114,21,G458,5,SF,,N,2,8,1.38,5.66,0.15,0.8,0.01,17.2,70.7,2,10,0.1,9.66,17.9,48.7,50.4,18.5,36.7,15.3,4.7
114_2 weeks_SF_N,2 weeks,129,114,21,G458,9,SF,,N,2,2.2,0.64,1.43,0.04,0.07,0.02,29.2,64.7,1.9,3.3,0.9,9.95,16.6,45.4,45.6,16.6,36.5,14.7,5.3
114_5 weeks_SF_N,5 weeks,129,114,21,G458,12,SF,,N,2,1.29,0.24,0.97,0.01,0.07,0,18.2,74.5,1.3,5.5,0.5,10.37,17.7,49.5,47.7,17.1,35.7,16.4,5.4
110_NIH_Lab_Tm,NIH,129,110,20,G430,6,SF,,Tm,2,14.02,2.52,10.87,0.28,0.32,0.03,18,77.5,2,2.3,0.2,10.02,18.2,49.6,49.5,18.2,36.7,15.6,5.2
110_2 weeks_SF_Tm,2 weeks,129,110,20,G430,10,SF,,Tm,2,3.66,1.65,1.66,0.13,0.2,0.02,44.9,45.4,3.5,5.6,0.6,9.77,16.2,45.1,46.2,16.6,36,15.9,6.2
110_5 weeks_SF_Tm,5 weeks,129,110,20,G430,13,SF,,Tm,2,2.98,1.44,1.46,0.02,0.04,0.02,48.1,49,0.9,1.2,0.8,11.15,18,51.9,46.5,16.1,34.6,16,5.3
113_NIH_Lab_N,NIH,129,113,20,G430,6,Lab,,N,2,7.3,2.29,4.54,0.16,0.3,0.01,31.3,62.2,2.2,4.2,0.1,10.07,17.8,49.5,49.2,17.7,36,15.3,4.3
113_2 weeks_Lab_N,2 weeks,129,113,20,G430,10,Lab,,N,2,3.66,0.17,3.42,0.02,0.04,0.01,4.6,93.4,0.7,1,0.3,9.51,15.4,43.3,45.6,16.2,35.5,13.4,5.8
113_5 weeks_Lab_N,5 weeks,129,113,20,G430,13,Lab,,N,2,1.5,0.5,0.94,0.01,0.05,0,33.3,62.4,1,2.8,0.5,10.59,16.7,49.1,46.4,15.8,34.1,14.6,6.1
111_NIH_Lab_N,NIH,129,111,20,G430,6,SF,,N,2,8.56,1.53,5.83,0.17,1.02,0.01,17.8,68,2,12,0.2,9.67,17.7,47.8,49.5,18.3,36.9,15.1,4.9
111_2 weeks_SF_N,2 weeks,129,111,20,G430,10,SF,,N,2,2.73,1.19,0.88,0.22,0.43,0.01,43.5,32.1,8.2,15.5,0.7,10.54,17.2,48,45.5,16.3,35.8,15,5.1
111_5 weeks_SF_N,5 weeks,129,111,20,G430,13,SF,,N,2,2.2,0.95,0.97,0.02,0.25,0.01,43.2,43.7,0.9,11.8,0.4,8.23,13.7,38.4,46.6,16.7,35.8,15.1,4.9
109/167_NIH_Lab_N,NIH,129,109,20,G430,6,Lab,,N,2,7.31,1.03,4.83,0.19,1.23,0.03,14.1,66.1,2.6,16.8,0.4,9.86,17.6,48.4,49,17.9,36.4,14.9,5.3
112_NIH_Lab_Tm,NIH,129,112,20,G429,5,Lab,,Tm,2,7.99,1.53,6.04,0.16,0.24,0.02,19.1,75.6,2.1,3,0.2,9.04,16.6,45.8,50.6,18.3,36.2,15.6,4.7
112_2 weeks_Lab_Tm,2 weeks,129,112,20,G429,9,Lab,,Tm,2,7.37,1.62,5.33,0.13,0.2,0.09,21.9,72.3,1.8,2.7,1.3,10.28,16.8,46.8,45.6,16.3,35.8,14.1,5.2
112_5 weeks_Lab_Tm,5 weeks,129,112,20,G429,12,Lab,,Tm,2,1.78,0.25,1.22,0.01,0.3,0,14,68.4,0.7,16.7,0.2,9.94,15.7,45.5,45.8,15.8,34.5,13.9,4.2
123_NIH_Lab_N,NIH,129,123,22,G457,5,SF,,N,2,11.41,2.56,8.28,0.21,0.33,0.03,22.5,72.6,1.8,2.8,0.3,8.76,16.3,44.4,50.7,18.6,36.7,15.5,4.9
123_2 weeks_SF_N,2 weeks,129,123,22,G457,9,SF,,N,2,1.06,0.3,0.66,0.05,0.04,0.01,27.9,61.4,4.6,4.5,1.6,8.26,14.1,38.1,46.2,17.1,37,15.6,5.4
123_5 weeks_SF_N,5 weeks,129,123,22,G457,12,SF,,N,2,1.4,0.33,1.02,0.02,0.02,0.01,23.1,72.3,1.6,2.1,0.9,9.75,16.1,46,47.2,16.6,35.1,15.9,5.7
120_NIH_Lab_Tm,NIH,129,120,22,G457,5,SF,,Tm,2,7.76,1.64,5.67,0.16,0.28,0.01,21.1,73,2.1,3.6,0.2,9.16,17.2,45.9,50.1,18.7,37.4,16,4.8
120_2 weeks_SF_Tm,2 weeks,129,120,22,G457,9,SF,,Tm,2,3.01,0.97,1.44,0.27,0.3,0.03,32.1,47.7,9.1,10.1,1,9.07,15.1,41.9,46.2,16.6,35.9,15.7,5.4
120_5 weeks_SF_Tm,5 weeks,129,120,22,G457,12,SF,,Tm,2,2.11,0.64,1.3,0.02,0.14,0.01,30.1,61.5,1.3,6.5,0.6,9.97,16.9,47.6,47.8,16.9,35.5,16.1,4.7
122/168_NIH_Lab_Tm,NIH,129,122,22,G457,5,SF,,Tm,2,5.53,1.45,3.83,0.1,0.14,0.01,26.1,69.3,1.9,2.4,0.3,8.52,16.1,43.6,51.2,18.9,36.9,16.1,4.7
122/168_2 weeks_SF_Tm,2 weeks,129,122,22,G457,9,SF,,Tm,2,2.49,0.79,1.08,0.16,0.45,0.01,31.6,43.3,6.7,17.7,0.7,10.35,17,47.6,46,16.4,35.7,14.5,5.2
122/168_5 weeks_SF_Tm,5 weeks,129,122,22,G457,12,SF,,Tm,2,1.74,0.96,0.53,0.06,0.18,0.01,55,30.3,3.6,10.4,0.7,11.58,18.8,53.8,46.4,16.2,34.9,14.8,5.4
121_NIH_Lab_Tm,NIH,129,121,22,G429,5,Lab,,Tm,2,8.08,2.16,5.54,0.17,0.19,0.02,26.8,68.5,2,2.4,0.3,8.89,16,45.2,50.9,18,35.3,16,4.4
121_2 weeks_Lab_Tm,2 weeks,129,121,22,G429,9,Lab,,Tm,2,8.92,1.32,7.22,0.12,0.2,0.06,14.8,80.9,1.3,2.3,0.7,10.24,16.9,47.2,46.1,16.5,35.9,14.2,4.8
121_5 weeks_Lab_Tm,5 weeks,129,121,22,G429,12,Lab,,Tm,2,2.33,0.49,1.18,0.05,0.6,0.01,21,50.6,2,25.7,0.7,9.91,16,46.5,47,16.2,34.5,14.1,4.7
119_NIH_Lab_N,NIH,129,119,22,G429,5,Lab,,N,2,9.99,2.24,7.15,0.26,0.31,0.03,22.4,71.6,2.6,3.1,0.3,8.91,16.5,44.7,50.1,18.5,37,16.6,5.2
119_2 weeks_Lab_N,2 weeks,129,119,22,G429,9,Lab,,N,2,9.52,1.45,7.76,0.13,0.15,0.03,15.2,81.5,1.4,1.6,0.3,10.06,16.4,45.7,45.4,16.3,35.8,14.1,5.1
119_5 weeks_Lab_N,5 weeks,129,119,22,G429,12,Lab,,N,2,2.39,0.62,1.57,0.03,0.17,0,25.6,65.6,1.3,7.3,0.2,9.76,16,45.7,46.8,16.4,35.1,15.6,5
102_NIH_Lab_N,NIH,129,102,18,G456,6,Lab,,N,2,6.95,1.7,4.96,0.13,0.14,0.02,24.4,71.4,1.9,2,0.3,9.36,17.1,46.8,50,18.3,36.6,15.8,4.7
102_2 weeks_Lab_N,2 weeks,129,102,18,G456,10,Lab,,N,2,8.77,1.88,5.74,0.19,0.92,0.04,21.4,65.5,2.2,10.5,0.4,10.64,17.1,48.4,45.4,16.1,35.4,14.4,5
102_5 weeks_Lab_N,5 weeks,129,102,18,G456,13,Lab,,N,2,1.94,0.83,1.04,0,0.07,0,42.7,53.4,0.3,3.5,0.1,10.47,16.4,48,45.9,15.6,34.1,14.9,5.2
101_NIH_Lab_Tm,NIH,129,101,18,G454,8,Lab,,Tm,2,10.98,3.15,7.27,0.21,0.32,0.03,28.7,66.2,1.9,2.9,0.3,10.53,18.4,50.1,47.6,17.4,36.6,15.3,4.7
101_2 weeks_Lab_Tm,2 weeks,129,101,18,G454,12,Lab,,Tm,2,12.08,2.24,9.37,0.23,0.16,0.08,18.5,77.6,1.8,1.4,0.7,10.92,18,50,45.8,16.5,36.1,14.4,5.1
101_5 weeks_Lab_Tm,5 weeks,129,101,18,G454,15,Lab,,Tm,2,2.12,0.64,1.06,0.01,0.41,0,30.2,49.7,0.8,19,0.3,10.44,16.8,48,46,16.1,35,14.8,4.2
103/124_NIH_Lab_Tm,NIH,129,103,18,G461,8,SF,,Tm,2,9.99,2.45,6.94,0.21,0.36,0.03,24.5,69.5,2.1,3.6,0.3,9.96,17.3,47.4,47.6,17.4,36.6,15.2,4.8
103/124_2 weeks_SF_Tm,2 weeks,129,103,18,G461,12,SF,,Tm,2,2.32,1.17,0.92,0.03,0.19,0.01,50.4,39.3,1.4,8.3,0.6,10.3,16.4,46.9,45.5,16,35.1,14.9,5.4
103/124_5 weeks_SF_Tm,5 weeks,129,103,18,G461,15,SF,,Tm,2,2.38,1.14,1.19,0.02,0.03,0,47.9,50,0.5,1.3,0.3,11.51,18.9,53,46.1,16.4,35.7,14.6,5
315_NIH_Lab_N,NIH,PWK,315,15,G646,5,SF,,N,2,3.98,0.44,3.27,0.04,0.21,0.02,11,82,1.1,5.2,0.7,9.85,16.4,47.7,48.4,16.6,34.3,16.6,13.1
315_2 weeks_SF_N,2 weeks,PWK,315,15,G646,10,SF,,N,2,4.53,2.61,1.62,0.14,0.11,0.05,57.6,35.8,2.9,2.6,1.1,10.6,16.8,48,45.3,15.9,35,15.4,6
316_NIH_SF_Tm,NIH,PWK,316,15,G646,5,SF,,Tm,2,3.26,0.54,2.52,0.05,0.13,0.02,16.5,77.3,1.8,3.8,0.6,8.67,15.3,42.3,48.8,17.6,36.2,18.3,12
316_2 weeks_Lab_Tm,2 weeks,PWK,316,15,G646,10,SF,,Tm,2,4.16,3.06,0.33,0.57,0.15,0.05,73.6,7.9,13.5,3.8,1.2,10.07,16.1,45.3,45,15.9,35.5,15.9,12
316_5 weeks_SF_Tm,5 weeks,PWK,316,15,G646,13,SF,,Tm,2,5.59,1.9,1.49,0.55,1.11,0.54,34,26.7,9.9,19.8,9.6,9.01,14.8,42.3,46.9,16.5,35.1,14.8,5.8
314_NIH_Lab_Tm,NIH,PWK,314,15,G648,6,SF,,Tm,2,2.56,0.28,2.17,0.02,0.09,0,10.7,84.4,1,3.6,0.3,8.84,15.2,43,48.7,17.2,35.4,15.8,5.6
314_2 weeks_SF_Tm,2 weeks,PWK,314,15,G648,10,SF,,Tm,2,4.1,1.54,1.92,0.28,0.32,0.04,37.6,46.6,7,7.8,1,10.76,16.7,47.8,44.4,15.6,35,15.6,6.4
